Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,81,2558,864,840,132,31,200,438,18,4,62,42,3139.0,38.75
James Harden,81,2356,659,907,121,38,262,464,11,2,64,22,2850.0,35.19
Anthony Davis,75,2099,884,157,94,167,40,181,8,1,49,0,2509.5,33.46
DeMarcus Cousins,72,1942,794,332,100,93,131,269,5,1,46,2,2335.5,32.44
LeBron James,74,1954,639,646,92,44,124,303,2,0,42,13,2363.0,31.93
Giannis Antetokounmpo,80,1832,700,434,131,151,49,234,1,0,32,3,2443.5,30.54
Karl-Anthony Towns,82,2061,1007,220,56,103,101,212,3,0,62,1,2481.0,30.26
Kevin Durant,62,1555,513,300,66,99,117,138,1,0,23,1,1867.0,30.11
John Wall,78,1805,326,831,157,49,89,322,2,1,50,0,2247.0,28.81
Hassan Whiteside,77,1309,1088,57,57,161,0,154,0,0,58,0,2139.5,27.79
Jimmy Butler III,76,1816,470,417,143,32,91,159,5,1,15,2,2056.5,27.06
Stephen Curry,79,1999,353,524,142,17,324,239,5,0,9,0,2131.5,26.98
Chris Paul,61,1104,304,563,119,8,124,147,0,0,24,1,1614.0,26.46
Rudy Gobert,81,1137,1035,97,49,214,0,147,0,0,58,0,2137.5,26.39
Kawhi Leonard,74,1888,430,260,133,55,147,154,1,0,9,0,1939.5,26.21
Andre Drummond,81,1105,1115,90,124,89,2,152,0,0,49,0,2081.5,25.7
Damian Lillard,75,2024,368,440,68,20,214,197,5,1,11,0,1923.0,25.64
Kyle Lowry,60,1344,286,417,88,19,193,173,1,0,11,1,1526.5,25.44
Draymond Green,76,776,599,533,154,106,81,184,0,0,17,5,1923.5,25.31
Nikola Jokić,73,1221,718,359,61,55,45,171,1,0,39,6,1823.0,24.97
DeAndre Jordan,81,1029,1114,96,51,134,0,115,0,0,41,0,2020.5,24.94
Kevin Love,60,1142,666,116,53,21,145,122,1,0,41,0,1493.5,24.89
Blake Griffin,61,1316,497,300,57,22,38,142,1,0,19,1,1512.0,24.79
Isaiah Thomas,76,2199,204,448,70,13,245,210,5,1,5,0,1841.0,24.22
Paul George,75,1775,492,251,119,27,195,220,1,0,11,0,1812.0,24.16
Joel Embiid,31,627,243,66,27,76,36,117,0,0,9,0,738.5,23.82
Marc Gasol,74,1446,464,338,67,99,104,166,1,0,11,2,1759.0,23.77
Nikola Vučević,75,1096,779,208,76,74,23,117,0,0,38,0,1767.5,23.57
Dwight Howard,74,1002,940,104,64,92,0,170,0,0,53,0,1740.0,23.51
Kyrie Irving,72,1816,230,418,83,24,177,180,4,0,8,0,1690.5,23.48
Paul Millsap,69,1246,533,252,90,62,75,158,0,0,19,0,1610.5,23.34
