"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Brock Bowers","TE","LV","17","11.8","18.8","7.1","5.1","23.7","16.1","19.3","10.8","15.5","BYE","31.3","7.8","30.2","8.2","6.5","20.9","14.6","15","15.5","262.7"
"2","Trey McBride","TE","ARI","16","8","18.7","5.5","-","11.3","17.6","10.1","21.4","12.7","11.1","BYE","25.3","21.6","14","17.7","5","30.3","19.5","15.6","249.8"
"3","George Kittle","TE","SF","15","8","20.6","-","14.5","20.4","22.8","15.2","24.8","BYE","14.7","-","20.2","1.7","21.1","10.1","18.6","19.2","4.7","15.8","236.6"
"4","Jonnu Smith","TE","FA","17","1.7","11.3","3.8","0","11.1","-","22.6","6","9.6","7.5","28.1","23.7","21.3","13.4","19.8","12.2","11.6","18.6","13.1","222.3"
"5","Travis Kelce","TE","KC","16","6.4","1.6","7","15.9","16","BYE","5.7","25","22","20.4","2.8","12.2","13.8","9.5","6.7","8","22.4","-","12.2","195.4"
"6","Mark Andrews","TE","BAL","17","3.4","9.1","0","0","9.5","15.6","20.1","14.6","4.6","18.8","4.2","15.6","18.9","BYE","10.4","13.8","14.8","15.4","11.1","188.8"
"7","Zach Ertz","TE","FA","17","5.8","10.2","8.8","7.2","3","10.8","14","14.7","1.5","7.1","18.7","15.8","12.5","-","4.5","2.2","25.2","15.4","10.4","177.4"
"8","Sam LaPorta","TE","DET","16","8.5","3.3","5.6","9.3","BYE","12.2","3.5","16.8","4.8","15.6","-","4.9","15.6","10.4","18.1","14.3","18.4","13.3","10.9","174.6"
"9","Pat Freiermuth","TE","PIT","17","6.7","7.9","7.3","16.7","9.2","3.6","7.1","3.9","BYE","10.7","3.4","9.9","18.8","13.8","11.2","4.6","11","22.5","9.9","168.3"
"10","Tucker Kraft","TE","GB","17","5.7","3.6","4.4","17.3","24.8","3.5","12.3","16.8","7.6","BYE","0","10.6","13.8","13.1","5.4","9.5","7.3","7.6","9.6","163.3"
"11","David Njoku","TE","FA","11","8.4","-","-","-","2.4","8.1","23.6","17.1","7.9","-","19.1","3.9","26.2","17.2","-","14.6","-","-","13.5","148.5"
"12","Hunter Henry","TE","NE","16","3.8","18.9","2.9","3.2","5.2","13.1","17.2","9.5","12.6","2.4","12.3","9.4","14.5","BYE","6.5","13.9","0","-","9.1","145.4"
"13","Mike Gesicki","TE","CIN","17","4.8","16.1","8.7","0.1","5.1","0","1.2","12.3","27","7","0","BYE","10.3","5.4","6.7","3.4","18.6","14.8","8.3","141.5"
"14","Cade Otton","TE","TB","14","1.5","-0.4","9.7","11.2","7.4","9.5","18","29.1","21.7","8.5","BYE","4","6","10","4.4","-","-","-","10","140.6"
"15","Kyle Pitts Sr.","TE","ATL","17","11.6","5","7.9","0","15.8","10","13.5","25.1","2.1","9.5","1.9","BYE","0","2.4","6.8","1.7","14.4","3.5","7.7","131.2"
