"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Christian McCaffrey","RB","SF","17","23.2","22.7","24","26.1","27.9","24.1","39.1","9.8","34.3","17.6","35.1","27.2","17.4","BYE","15.7","32.6","28.1","11.7","24.5","416.6"
"2","Bijan Robinson","RB","ATL","17","24.4","19.8","16.1","28.1","BYE","35.8","21.2","5.8","17.6","10.8","30.3","14.7","30.3","9.4","29.5","29.8","39.9","7.3","21.8","370.8"
"3","Jahmyr Gibbs","RB","DET","17","15","19.4","26.9","17.7","16.7","7.5","36.8","BYE","5.8","38.2","19.6","55.4","11.6","37","9.8","22.8","6.4","20.3","21.6","366.9"
"4","Jonathan Taylor","RB","IND","17","12.8","29.5","32.8","14.6","31.6","23.7","34.2","37.4","7.7","49.6","BYE","8.6","15.1","11.4","13.1","16.9","17.4","5.9","21.3","362.3"
"5","De'Von Achane","RB","MIA","16","16.5","26.2","16.1","17.1","16.6","31","12.8","20.1","16.6","40.5","21.5","BYE","19.4","17.5","18.7","18","14.2","-","20.2","322.8"
"6","James Cook III","RB","BUF","17","21.2","26.5","20.8","22.5","4.9","8.7","BYE","33.6","13.5","10.7","20.4","21.9","18.7","11.1","31.1","26.4","8.7","1.5","17.8","302.2"
"7","Chase Brown","RB","CIN","17","13.1","8.5","6","10.1","11.8","8.9","12","25.5","19.2","BYE","18.7","15","18.3","18.5","16","32.9","29.1","19","16.6","282.6"
"8","Derrick Henry","RB","BAL","17","29.2","2.3","10.7","7.8","9.3","14","BYE","19.1","13.1","11.4","20.2","22.8","17.4","11.2","10","22.8","45.6","12.6","16.4","279.5"
"9","Kyren Williams","RB","LAR","17","13.9","10","19.2","10.4","31.1","16.7","8.5","BYE","17.4","22.4","16.6","5.8","13.2","17.7","21.8","11.5","16","11.1","15.5","263.3"
"10","Travis Etienne Jr.","RB","NO","17","18.6","16.9","11.6","19.5","8.8","9.5","6.5","-","16.5","15.7","19.3","20.6","5.1","21.2","31.5","16.6","11.2","4.8","14.9","253.9"
"11","Ashton Jeanty","RB","LV","17","12","7.4","6.3","33.5","15.9","16.6","4.4","BYE","19.9","15.3","9.4","24.8","12.1","5.8","8.2","31.8","9.3","12.4","14.4","245.1"
"12","Javonte Williams","RB","DAL","16","20.4","25","12.2","19","26.9","8.4","18.8","17.9","7.3","BYE","10.3","12.1","17","14.7","15.1","6.3","11.4","-","15.2","242.8"
"13","Josh Jacobs","RB","GB","15","14","14.4","12.4","31.7","BYE","32","18.8","13.5","20","19.7","4","-","10.1","17.2","23.2","4.8","1.3","-","15.8","237.1"
"14","Saquon Barkley","RB","PHI","16","18.4","17.4","9.5","17.4","17.8","8.7","5.2","33.4","BYE","13.1","10","12.4","5.6","18.2","17.2","21.2","6.8","-","14.5","232.3"
"15","D'Andre Swift","RB","CHI","16","9.5","13.9","10.8","16","BYE","25.5","20.8","15.1","-","14.8","9","1.9","20.8","11.2","22.6","9","21.9","5.8","14.3","228.6"
"16","Kenneth Gainwell","RB","TB","17","5.3","6.6","9.6","31.4","-","9.6","3.5","3.5","7.4","2.4","29.5","18.2","6.5","16.2","19.6","23.8","6.8","21.4","13","221.3"
"17","Jaylen Warren","RB","PIT","16","13.9","17.4","13.1","-","BYE","8.3","19.8","9.3","16.9","11.1","8.7","12.8","12.4","15.2","7.8","29.1","6.4","14.9","13.6","217.1"
"18","Rico Dowdle","RB","PIT","17","3.6","2.9","10.8","4","32.4","33.9","10.6","5.4","28.1","15.3","15","11.4","9.9","-","12.4","8.3","9.3","3","12.7","216.3"
"19","Breece Hall","RB","NYJ","16","16.5","5.8","9.2","16.1","17.5","5.9","7.2","32.9","BYE","19.5","8.4","13.9","15.6","4.3","5.7","8.3","20.9","-","13","207.7"
"20","RJ Harvey","RB","DEN","17","7.9","3.4","4.6","19.8","6","6.5","7.2","24.1","16.6","3.8","8","BYE","21.2","22","10.5","22.1","18.6","4.3","12.2","206.6"
"21","TreVeyon Henderson","RB","NE","17","11.1","6","7.7","12.6","4.7","4.6","0.5","5.5","12.7","28","32.3","11.1","11.6","BYE","30.1","2.2","8.2","17.3","12.1","206.2"
"22","Kenneth Walker III","RB","KC","17","5.4","18.8","18","12","9.6","4.7","6.6","-","8.1","8","20.1","13.1","10.4","3.8","2.9","25.4","7.7","17.3","11.3","191.9"
"23","Tony Pollard","RB","TEN","17","7.9","9.2","13.9","10.6","14.8","6.7","12.1","6.3","7.8","BYE","5.6","8.1","5.3","28.1","18.2","10.2","11.5","9.5","10.9","185.8"
"24","Zach Charbonnet","RB","SEA","16","10.7","1","-","12.4","11.8","4.7","19.5","BYE","5.6","14.3","6.7","9.5","11.2","8.6","3.1","17.4","26.2","18.7","11.3","181.4"
"25","Rhamondre Stevenson","RB","NE","14","4.7","21.2","4.6","5.1","14.7","1.8","16.8","5.9","-","-","-","2","11","BYE","10.7","17.8","27.2","35.3","12.8","178.8"
