"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Puka Nacua","WR","LAR","16","23.1","27.6","22.8","36","24.5","4.8","-","BYE","22.8","17.4","14.3","16.7","13.2","35.7","27.9","46.5","15.7","26","23.4","375"
"2","Jaxon Smith-Njigba","WR","SEA","17","19.4","18.3","20.6","13","27.2","30.2","26.3","BYE","22","20.3","20.6","37.1","4.3","28.1","18.3","23.6","16.2","14.4","21.2","359.9"
"3","Amon-Ra St. Brown","WR","DET","17","8.5","39.2","20.7","26","18","13.7","20.6","BYE","18.7","16.8","6.2","29.9","0","15.2","41.4","9.4","14.8","24.9","19.1","324"
"4","Ja'Marr Chase","WR","CIN","16","4.6","36.5","8.9","7.3","29","25.1","38.1","21.1","17.1","BYE","6","-","18","10.2","23.2","19.9","25","23.6","19.6","313.6"
"5","George Pickens","WR","DAL","17","6","17.8","17.8","33.4","13.7","31.8","12.2","14.8","13.9","BYE","29.4","29.6","16.8","8.7","6.3","26","11.8","1.9","17.2","291.9"
"6","Chris Olave","WR","NO","16","12.4","11.4","15.7","10","12.9","15.8","26.8","14","8.7","21.4","BYE","16","14.7","6","20.5","36.8","25.9","-","16.8","269"
"7","Zay Flowers","WR","BAL","17","28.1","14.9","3.3","14.4","12.2","8.6","BYE","14.1","11.4","12.1","11.3","11.9","0.6","20.6","15.8","21.2","13","29.8","14.3","243.3"
"8","Nico Collins","WR","HOU","15","5.5","14.2","22.4","11.9","16","BYE","6.7","-","14.5","22.6","24.2","8.5","21.5","16.1","23.5","9.9","8.7","-","15.1","226.2"
"9","Davante Adams","WR","LAR","14","9.1","22.6","14.6","15.6","13.8","7.9","26.5","BYE","23","19.7","7.1","23.2","21.8","6.9","11.1","-","-","-","15.9","222.9"
"10","Michael Wilson","WR","ARI","17","1.5","8.1","1.5","4.5","3.6","8.4","7","BYE","9.1","7.4","33.5","21.8","6.6","37.2","16.4","13.2","19.9","20.9","13","220.6"
"11","A.J. Brown","WR","PHI","15","1.8","7.7","22.9","2.7","9.3","14","28.1","-","BYE","3.3","11.9","25","35.2","16","12.1","18.5","11.8","-","14.7","220.3"
"12","Jameson Williams","WR","DET","17","6.6","18.8","6.3","5.7","2","18.6","0","BYE","16.6","23.9","19.7","0","26.9","17.3","26.4","12","5.7","13.4","12.9","219.9"
"13","Courtland Sutton","WR","DEN","17","18.1","1.6","23.8","19.1","17.9","2.7","16.7","10.7","10","5.4","9.9","BYE","17.2","12.2","24.3","20.6","8","1.5","12.9","219.7"
"14","Wan'Dale Robinson","WR","TEN","16","11.5","28.2","3.6","4.4","8.2","20.4","15.5","7.8","13.6","12.2","7.6","30.6","10.4","-","16.4","5.2","22.3","-","13.6","217.9"
"15","Tee Higgins","WR","CIN","15","6.3","14.6","2.5","6.2","11.2","11.2","21.6","11.4","33.1","BYE","15.3","8.1","-","27.2","-","14.3","9.9","18.7","14.1","211.6"
"16","Tetairoa McMillan","WR","CAR","17","11.8","16","7.8","10.2","13.3","17.9","6.3","16.9","8.6","11","33","11.5","11.3","BYE","4.5","19.3","1.5","10.5","12.4","211.4"
"17","Stefon Diggs","WR","FA","17","11.7","7.2","5.3","16.1","24.6","5.8","13.9","10.4","12.8","15.6","19.5","4","5.6","-","5.6","22.8","22.1","7.3","12.4","210.3"
"18","Michael Pittman Jr.","WR","PIT","17","20","8","19.3","15.1","14.9","4","20.8","23.5","20.5","3.9","-","13.7","2.3","16.9","5.6","7.2","3.6","3.1","11.9","202.4"
"19","Drake London","WR","ATL","12","13.5","5.9","10.5","25","BYE","31.8","8.2","-","38.8","24.4","18.9","-","-","-","-","5.7","1.4","17.8","16.8","201.9"
"20","DeVonta Smith","WR","PHI","17","4.6","9.3","20","4.9","19.4","8.9","33.3","14.4","BYE","16.9","1.8","14.9","9.8","7.7","7","16.2","4.5","8.2","11.9","201.8"
"21","Justin Jefferson","WR","MIN","17","14.8","11.1","12.5","22.6","19.3","BYE","12.9","14.4","16.7","7.7","11.1","8.8","2.4","3.1","4.2","14.5","7","18.4","11.9","201.5"
"22","CeeDee Lamb","WR","DAL","14","18","20.2","0","-","-","-","22","14.6","15.5","BYE","17.6","11.5","24.2","18.1","17.1","11.1","9.6","1.4","14.4","200.9"
"23","Emeka Egbuka","WR","TB","17","23.6","12.9","14.5","20.1","31.3","4.4","9.8","6.5","BYE","23.5","9","6.2","8.2","3.5","10.4","5","5","1.8","11.5","195.7"
"24","Jaylen Waddle","WR","MIA","16","7","17.8","14.9","7.8","23","15.8","2.5","20.9","14.2","19.4","8.2","BYE","7","18.1","4.6","12.2","0.7","-","12.1","194.1"
"25","Deebo Samuel Sr.","WR","FA","16","22.6","17.4","4.9","20.1","23.6","5.4","-","4.2","9.4","12.9","20.7","-","11.1","6.7","7.3","6.5","11.3","4.1","11.8","188.2"
"26","DK Metcalf","WR","PIT","15","12.3","11","12.2","23.6","BYE","19.5","8","16.5","2.6","6.5","9.9","14.4","6.2","21.8","14.5","8.2","-","-","12.5","187.2"
"27","Parker Washington","WR","JAC","16","0","12.6","7.4","5.9","9.6","4.9","10.2","BYE","17","17.9","4","18.1","3.6","-","8.3","26.5","19","19.7","11.5","184.7"
"28","Alec Pierce","WR","IND","15","4.6","10.8","10.7","-","-","6.8","14.8","8.9","17.5","18.4","BYE","3.6","17.8","13","2.6","24.6","0","29.2","12.2","183.3"
"29","Keenan Allen","WR","LAC","17","19.8","17.1","19.5","8.7","10.8","6.7","28.9","8.4","6.1","3.9","9.3","BYE","7","5.2","8.6","9.4","2.7","10.6","10.7","182.7"
"30","Ladd McConkey","WR","LAC","16","13.4","9.8","8.1","2.1","14.9","23","15.7","20.8","9.6","20.7","4.3","BYE","13.9","2.2","4","14.3","4.1","-","11.3","180.9"
"31","Troy Franklin","WR","DEN","17","8.4","24","2.8","9.5","8.5","3.1","12.9","26.9","8.3","15","12.4","BYE","4.1","4.1","20.8","10.6","5.7","0","10.4","177.1"
"32","Jakobi Meyers","WR","JAC","16","17.7","12.8","9.3","7","7.2","7.9","-","BYE","6.3","7.1","11.4","15","21.3","14.8","12.1","8.6","7.9","9.4","11","175.8"
"33","Jauan Jennings","WR","FA","15","3.6","19.9","-","6.4","-","1.7","7.1","8.5","14.1","17.1","9.4","15.1","13.9","-","18.7","18.1","12.2","7.5","11.6","173.3"
"34","Quentin Johnston","WR","LAC","14","24.9","15.9","14.9","23.8","6.9","-","11","0","15.3","9.2","0","BYE","11.3","2.8","-","20.4","14.8","-","12.2","171.2"
"35","DJ Moore","WR","BUF","17","8.6","9.6","12.8","7.8","-","8.2","8.2","11.6","23","0","3.1","23.4","4.7","0.6","22.9","21.9","1.7","2.1","10","170.2"
"36","Khalil Shakir","WR","BUF","16","12.4","2.2","14.5","17.9","11","6.3","BYE","20.8","11.3","12.8","0.7","17","1.5","9.6","11.5","7.4","9.5","-","10.4","166.4"
"37","Romeo Doubs","WR","NE","16","8.8","11.8","4.5","29.8","-","10.5","13.2","9.4","16.1","1.5","9.3","4.3","12","0","5.6","19.4","9.2","-","10.3","165.4"
"38","Tre Tucker","WR","LV","17","13.4","4.9","40.9","4.2","11.1","12","8.3","BYE","6.8","5.5","14.7","5.8","5","4.4","0","9.4","9.9","5.4","9.5","161.7"
"39","Rashid Shaheed","WR","SEA","18","9.3","15.2","8.2","9.2","21.4","6.8","8","14.5","11.8","3.3","4.9","0.5","2.6","16.7","12.1","9.1","1.8","1.2","8.7","156.6"
"40","Rashee Rice","WR","KC","8","-","-","-","-","-","-","23.2","25.5","18.6","BYE","9.8","24.1","29.4","7.4","12.1","-","-","-","18.8","150.1"
"41","Rome Odunze","WR","CHI","12","15.7","31.8","15.2","16.9","BYE","5.2","5.1","18.4","0","20.6","6.1","8.3","2.8","-","-","-","-","-","12.2","146.1"
"42","Brian Thomas Jr.","WR","JAC","14","9","8.9","7.5","10.6","12","23","6.1","BYE","8.5","-","-","-","4.8","11.7","17.1","3.8","7.9","7.9","9.9","138.8"
"43","Hollywood Brown","WR","FA","16","19.9","8","8.2","12.8","8.8","20.5","9.4","0","9.3","-","8","2","10","4.5","-","5.2","1.7","9.4","8.6","137.7"
"44","Josh Downs","WR","IND","16","3.2","11.1","5.4","6.4","11.4","16.2","-","12.9","15.7","1.3","BYE","3","6.4","6.3","10.3","11.8","5.4","9.6","8.5","136.4"
"45","Jordan Addison","WR","MIN","14","-","-","-","15.4","15.1","BYE","21.8","11.6","8.4","6.5","10","0","8.6","10.2","8.6","4.6","12.5","1.8","9.7","135.1"
"46","Christian Watson","WR","GB","10","-","-","-","-","BYE","-","-","12.5","7.8","6.5","20.6","9.9","18.3","24.9","5.9","3.7","22.3","-","13.2","132.4"
"47","Jayden Higgins","WR","HOU","17","5.2","3.8","1.5","9.4","7.2","BYE","0","13.4","1.4","15.2","9.5","13.8","11.5","6.4","1.4","2.7","16.8","10.3","7.6","129.5"
"48","Luther Burden III","WR","CHI","15","0.7","1.5","19.8","1.6","BYE","9.1","3.1","0.9","-","8.1","5.7","9.1","7.6","11","14.4","-","27.8","7.5","8.5","127.9"
"49","Marvin Harrison Jr.","WR","ARI","12","18.1","4.7","7.4","18.6","13.8","5.2","7.8","BYE","22.6","14.3","-","-","12.9","-","-","2.4","0","-","10.7","127.8"
