Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
James Harden,78,2818,518,586,158,58,378,387,28,9,34,7,2832.0,36.31
Russell Westbrook,73,1675,807,784,142,33,119,325,5,0,57,34,2643.0,36.21
Anthony Davis,56,1452,672,218,88,135,48,112,7,0,37,0,2018.0,36.04
Giannis Antetokounmpo,72,1994,898,424,92,110,52,268,6,1,54,5,2552.0,35.44
Joel Embiid,64,1761,871,234,46,122,79,226,5,0,58,2,2202.0,34.41
LeBron James,55,1505,465,454,72,33,111,197,3,1,32,8,1792.0,32.58
Karl-Anthony Towns,77,1880,954,259,67,125,142,240,3,0,54,0,2425.0,31.49
Andre Drummond,79,1370,1232,112,136,138,5,175,0,0,69,0,2473.5,31.31
Paul George,77,2159,628,318,170,34,292,205,7,0,24,1,2407.5,31.27
Nikola Jokić,80,1604,865,580,108,55,83,248,1,0,56,12,2447.5,30.59
Nikola Vučević,80,1665,960,307,81,89,84,159,0,0,60,1,2384.5,29.81
Rudy Gobert,81,1284,1041,161,66,187,0,130,0,0,66,0,2286.0,28.22
Stephen Curry,69,1881,369,361,92,25,354,192,8,1,3,0,1901.5,27.56
Kawhi Leonard,60,1596,439,199,106,24,112,121,2,0,14,0,1647.0,27.45
Kevin Durant,78,2027,497,457,58,84,137,225,4,1,16,2,2120.0,27.18
Kyrie Irving,67,1596,335,464,103,34,174,172,2,0,21,1,1811.0,27.03
Ben Simmons,79,1337,697,610,112,61,0,274,0,0,42,10,2109.5,26.7
Damian Lillard,80,2067,371,551,88,34,237,212,6,1,13,0,2126.0,26.57
Bradley Beal,82,2099,411,448,121,58,209,224,5,0,11,2,2167.0,26.43
Jrue Holiday,67,1420,334,518,109,54,118,210,0,0,18,0,1755.0,26.19
Clint Capela,67,1114,848,96,44,102,0,94,0,0,45,0,1744.0,26.03
Kemba Walker,82,2102,361,484,102,34,260,211,7,1,10,0,2105.0,25.67
Blake Griffin,75,1841,565,402,52,28,189,253,3,1,21,2,1918.0,25.57
Luka Dončić,72,1526,563,429,77,25,168,247,0,0,24,8,1836.0,25.5
John Wall,32,663,116,279,49,29,51,121,1,0,10,0,798.0,24.94
LaMarcus Aldridge,81,1727,744,194,43,107,10,144,2,1,32,0,1997.5,24.66
Jusuf Nurkić,72,1125,748,233,71,103,3,168,0,0,36,1,1763.0,24.49
Chris Paul,58,906,265,473,114,18,127,152,0,0,18,1,1386.5,23.91
DeMarcus Cousins,30,488,247,107,40,44,26,72,0,0,10,0,717.0,23.9
DeMar DeRozan,77,1635,462,475,86,36,7,199,0,0,12,1,1817.0,23.6
Devin Booker,64,1700,265,433,56,13,135,264,5,2,12,0,1508.5,23.57
Julius Randle,73,1565,634,229,52,45,67,208,1,0,31,1,1699.0,23.27
Kyle Lowry,65,926,312,564,91,31,157,182,0,0,20,2,1503.5,23.13
Mike Conley,70,1478,239,449,94,22,155,130,1,0,10,0,1617.5,23.11
Victor Oladipo,36,675,202,186,60,11,74,82,0,0,5,0,827.5,22.99
D'Angelo Russell,81,1712,315,563,100,20,234,253,3,0,14,0,1855.0,22.9
Jimmy Butler III,65,1215,342,263,123,39,67,95,0,0,3,0,1478.0,22.74
Deandre Ayton,71,1159,729,125,61,67,0,126,0,0,39,0,1602.5,22.57
DeAndre Jordan,69,758,902,156,42,73,0,153,0,0,42,0,1556.0,22.55
Hassan Whiteside,72,887,817,56,46,136,2,97,0,0,36,0,1620.5,22.51
John Collins,61,1188,595,121,22,39,55,120,0,0,32,0,1371.5,22.48
